mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	29				
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	h		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	30				
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6h		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	31				
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	33				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	34				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	35				
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	36				
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	37				
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	b		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	38				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	39				
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	40				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	41				
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	42				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	43				
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	5		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44				
6	6	41/2	41/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	6		
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	45				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5	
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	46				
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8		
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	47				
6	6	47/2	47/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7		
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	48				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	49				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	50				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	51				
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	52				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	53				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	6		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	54				
7	7	53/2	53/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	5		
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	4h	b3	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	55				
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	56				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	57				
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	58				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	59				
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	6		
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	60				
8	8	57/2	57/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	5b		
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	5	
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	61				
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	62				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	63				
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	64				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	65				
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	66				
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	67				
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#		
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	68				
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	69				
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70				
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\		
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71				
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	72				
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	73				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	75				
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6		
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	76				
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	7	#	
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	77				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	78				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	79				
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	80				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	81				
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	82				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	83				
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	5h	4	
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	84				
11	11	81/2	81/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	#		
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	85				
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	h		
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	86				
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	87				
11	11	43	43	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\	4	3
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	88				
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	89				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	90				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	91				
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	92				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	93				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5	
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	94				
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	#	
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	95				
12	12	95/2	95/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7		
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	96				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	97				
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	98				
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99				
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	100				
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	101				
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	102				
13	13	51	51	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	4	3
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	103				
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	104				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	105				
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	106				
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	b		
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	107				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	108				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	#		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	109				
14	14	55	55	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7	#	
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	110				
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1	1	1	111				
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0				1	#		
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1	1	1	112				
