mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	26					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	27					
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	5			
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	28					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	29					
9	9	36	36	0.0	1	1	FiguredBass	4/4	1	1	0				1/2	6			
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	30					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	31					2
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	32					
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0				1	4			
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1	1	1	33					
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0				1	3			
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1	1	1	34					
10	10	40	40	0.0	1	1	FiguredBass	4/4	2	1	0				1	3			
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	35					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	36					
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	37					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	38					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	39					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	40					
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	41					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	42					
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	43					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	44					
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	45					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	8			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	46					
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	7			
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	47					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	7			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	48					
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1	1	1	49					
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1	1	1	50					
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	51					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	52					
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	53					
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	6			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	54					
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	55					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56					
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0				1/4	6			
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	57					
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	58					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	59					
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	60					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	61					
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0				1/2	6	4	8__	
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	62					
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0				1/2	5__	3__		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	63					
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	5__	3__		
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	64					
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2			_	
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	65					
19	19	76	76	0.0	1	1	FiguredBass	4/4	2	1	0				1/2			7	
19	19	78	78	0.0	3/2	3/2	FiguredBass	4/4	2	1	0				1/2	_	_		
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0				1	8	3		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1	1	1	66					
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1	1	1	67					
